gameId,easternStartTime,gameDate,gameNumber,gameScheduleStateId,gameStateId,gameType,homeScore,homeTeamId,period,season,visitingScore,visitingTeamId
2024010001,2024-09-21T19:00:00,9/21/2024,1,1,6,1,7,7,3,20242025,3,5
2024010002,2024-09-21T19:00:00,9/21/2024,2,1,6,1,2,25,3,20242025,1,19
2024010003,2024-09-21T20:00:00,9/21/2024,3,1,6,1,2,52,3,20242025,5,30
2024010004,2024-09-22T14:00:00,9/22/2024,4,1,6,1,3,13,3,20242025,2,18
2024010005,2024-09-22T15:00:00,9/22/2024,5,1,6,1,2,15,3,20242025,6,4
2024010006,2024-09-22T17:00:00,9/22/2024,6,1,6,1,2,6,3,20242025,3,3
2024010007,2024-09-22T18:00:00,9/22/2024,7,1,6,1,6,13,3,20242025,2,18
2024010008,2024-09-22T18:00:00,9/22/2024,8,1,6,1,3,22,4,20242025,2,52
2024010009,2024-09-22T19:00:00,9/22/2024,9,1,6,1,2,1,3,20242025,4,2
2024010010,2024-09-22T19:00:00,9/22/2024,10,1,6,1,5,10,4,20242025,6,9
2024010011,2024-09-22T19:00:00,9/22/2024,11,1,6,1,5,59,3,20242025,3,19
2024010012,2024-09-22T20:00:00,9/22/2024,12,1,6,1,2,28,3,20242025,4,54
2024010013,2024-09-22T22:00:00,9/22/2024,13,1,6,1,1,55,3,20242025,6,20
2024010014,2024-09-23T17:00:00,9/23/2024,14,1,6,1,6,7,3,20242025,1,29
2024010015,2024-09-23T19:00:00,9/23/2024,15,1,6,1,5,8,3,20242025,0,4
2024010016,2024-09-23T21:00:00,9/23/2024,16,1,6,1,3,22,3,20242025,6,20
2024010017,2024-09-23T21:00:00,9/23/2024,17,1,6,1,2,21,3,20242025,3,25
2024010018,2024-09-23T21:00:00,9/23/2024,18,1,6,1,6,20,3,20242025,1,22
2024010019,2024-09-23T21:00:00,9/23/2024,19,1,6,1,3,59,4,20242025,2,26
2024010020,2024-09-24T19:00:00,9/24/2024,20,1,6,1,2,5,3,20242025,3,7
2024010021,2024-09-24T19:00:00,9/24/2024,21,1,6,1,1,14,3,20242025,2,12
2024010022,2024-09-24T19:00:00,9/24/2024,22,1,6,1,3,8,3,20242025,0,1
2024010023,2024-09-24T19:00:00,9/24/2024,23,1,6,1,6,3,3,20242025,4,2
2024010024,2024-09-24T19:00:00,9/24/2024,24,1,6,1,2,9,3,20242025,1,10
2024010025,2024-09-24T19:00:00,9/24/2024,25,1,6,1,4,6,3,20242025,2,15
2024010026,2024-09-24T22:00:00,9/24/2024,26,1,6,1,3,28,3,20242025,4,24
2024010027,2024-09-24T22:00:00,9/24/2024,27,1,6,1,3,23,3,20242025,1,55
2024010028,2024-09-25T19:00:00,9/25/2024,28,1,6,1,3,29,3,20242025,0,19
2024010029,2024-09-25T19:00:00,9/25/2024,29,1,6,1,8,14,3,20242025,7,13
2024010030,2024-09-25T19:00:00,9/25/2024,30,1,6,1,3,1,3,20242025,5,15
2024010031,2024-09-25T20:00:00,9/25/2024,31,1,6,1,2,16,3,20242025,4,17
2024010032,2024-09-25T20:00:00,9/25/2024,32,1,6,1,6,52,3,20242025,1,22
2024010033,2024-09-25T20:00:00,9/25/2024,33,1,6,1,5,25,3,20242025,2,30
2024010034,2024-09-25T22:00:00,9/25/2024,34,1,6,1,4,23,4,20242025,3,20
2024010035,2024-09-25T22:00:00,9/25/2024,35,1,6,1,2,54,3,20242025,3,26
2024010036,2024-09-26T19:00:00,9/26/2024,36,1,6,1,5,3,3,20242025,2,6
2024010037,2024-09-26T19:00:00,9/26/2024,37,1,6,1,2,9,4,20242025,3,7
2024010038,2024-09-26T19:00:00,9/26/2024,38,1,6,1,2,10,3,20242025,1,8
2024010039,2024-09-26T19:00:00,9/26/2024,39,1,6,1,2,4,3,20242025,0,2
2024010040,2024-09-26T22:00:00,9/26/2024,40,1,6,1,2,24,4,20242025,3,28
2024010041,2024-09-27T19:00:00,9/27/2024,41,1,6,1,2,17,3,20242025,0,16
2024010042,2024-09-27T20:15:00,9/27/2024,42,1,6,1,4,15,3,20242025,8,29
2024010043,2024-09-27T18:00:00,9/27/2024,43,1,6,1,8,12,3,20242025,2,13
2024010044,2024-10-07T19:00:00,10/7/2024,44,5,1,1,0,14,1,20242025,0,18
2024010045,2024-09-27T19:00:00,9/27/2024,45,1,6,1,5,2,3,20242025,1,1
2024010046,2024-09-27T20:00:00,9/27/2024,46,1,6,1,4,25,3,20242025,2,21
2024010047,2024-09-27T20:00:00,9/27/2024,47,1,6,1,8,30,3,20242025,5,52
2024010048,2024-09-27T22:00:00,9/27/2024,48,1,6,1,5,54,3,20242025,2,59
2024010049,2024-09-27T22:00:00,9/27/2024,49,1,6,1,3,55,3,20242025,1,23
2024010050,2024-09-28T18:00:00,9/28/2024,50,1,6,1,3,26,3,20242025,2,24
2024010051,2024-09-28T19:00:00,9/28/2024,51,1,6,1,3,4,4,20242025,2,6
2024010052,2024-09-28T19:00:00,9/28/2024,52,1,6,1,6,29,3,20242025,3,7
2024010053,2024-09-28T18:00:00,9/28/2024,53,1,6,1,5,13,4,20242025,4,12
2024010054,2024-09-30T19:00:00,9/30/2024,54,1,6,1,1,17,3,20242025,5,5
2024010055,2024-09-28T19:00:00,9/28/2024,55,1,6,1,1,8,3,20242025,2,10
2024010056,2024-09-28T19:00:00,9/28/2024,56,1,6,1,3,19,4,20242025,2,16
2024010057,2024-09-28T20:00:00,9/28/2024,57,1,6,1,6,18,3,20242025,0,14
2024010058,2024-09-28T21:00:00,9/28/2024,58,1,6,1,5,22,3,20242025,4,55
2024010059,2024-09-28T21:00:00,9/28/2024,59,1,6,1,4,20,3,20242025,2,23
2024010060,2024-09-29T18:00:00,9/29/2024,60,1,6,1,2,30,3,20242025,4,25
2024010061,2024-09-29T19:00:00,9/29/2024,61,1,6,1,2,9,3,20242025,5,5
2024010062,2024-09-29T19:00:00,9/29/2024,62,1,6,1,3,21,3,20242025,6,59
2024010063,2024-09-30T19:00:00,9/30/2024,63,1,6,1,4,7,4,20242025,3,17
2024010064,2024-09-30T19:00:00,9/30/2024,64,1,6,1,3,1,3,20242025,1,3
2024010065,2024-09-30T19:00:00,9/30/2024,65,1,6,1,4,2,3,20242025,3,4
2024010066,2024-09-30T19:00:00,9/30/2024,66,1,6,1,1,13,3,20242025,3,14
2024010067,2024-09-30T19:00:00,9/30/2024,67,1,6,1,2,29,3,20242025,3,15
2024010068,2024-09-30T21:00:00,9/30/2024,68,1,6,1,4,20,4,20242025,3,55
2024010069,2024-09-30T21:00:00,9/30/2024,69,1,6,1,3,22,5,20242025,2,23
2024010070,2024-09-30T22:00:00,9/30/2024,70,1,6,1,0,24,3,20242025,4,26
2024010071,2024-10-01T19:00:00,10/1/2024,71,1,6,1,1,5,3,20242025,2,17
2024010072,2024-10-01T19:00:00,10/1/2024,72,1,6,1,5,3,3,20242025,4,1
2024010073,2024-10-01T19:00:00,10/1/2024,73,1,6,1,3,8,3,20242025,4,9
2024010074,2024-10-01T19:00:00,10/1/2024,74,1,6,1,4,6,3,20242025,1,4
2024010075,2024-10-01T20:00:00,10/1/2024,75,1,6,1,7,30,3,20242025,2,16
2024010076,2024-10-01T20:00:00,10/1/2024,76,1,6,1,1,19,3,20242025,3,29
2024010077,2024-10-01T21:30:00,10/1/2024,77,1,6,1,1,21,3,20242025,6,54
2024010078,2024-10-01T22:00:00,10/1/2024,78,1,6,1,1,28,3,20242025,3,59
2024010079,2024-10-02T19:00:00,10/2/2024,79,1,6,1,1,14,4,20242025,2,13
2024010080,2024-10-02T19:00:00,10/2/2024,80,1,6,1,4,12,3,20242025,6,18
2024010081,2024-10-02T20:00:00,10/2/2024,81,1,6,1,5,52,3,20242025,2,20
2024010082,2024-10-02T22:00:00,10/2/2024,82,1,6,1,6,55,3,20242025,2,22
2024010083,2024-10-02T22:00:00,10/2/2024,83,1,6,1,5,24,3,20242025,2,59
2024010084,2024-10-03T19:00:00,10/3/2024,84,1,6,1,5,4,3,20242025,4,1
2024010085,2024-10-03T19:00:00,10/3/2024,85,1,6,1,1,29,3,20242025,3,5
2024010086,2024-10-03T19:00:00,10/3/2024,86,1,6,1,0,17,3,20242025,2,10
2024010087,2024-10-03T19:00:00,10/3/2024,87,1,6,1,4,26,3,20242025,1,6
2024010088,2024-10-03T20:00:00,10/3/2024,88,1,6,1,4,19,4,20242025,3,25
2024010089,2024-10-03T22:00:00,10/3/2024,89,1,6,1,1,54,3,20242025,3,21
2024010090,2024-10-04T19:00:00,10/4/2024,90,1,6,1,7,5,3,20242025,3,29
2024010091,2024-10-04T19:00:00,10/4/2024,91,1,6,1,5,2,3,20242025,2,3
2024010092,2024-10-04T19:00:00,10/4/2024,92,1,6,1,3,17,4,20242025,4,9
2024010093,2024-10-04T19:00:00,10/4/2024,93,1,6,1,2,12,4,20242025,1,14
2024010094,2024-10-04T20:30:00,10/4/2024,94,1,6,1,1,16,3,20242025,6,30
2024010095,2024-10-04T21:00:00,10/4/2024,95,1,6,1,2,20,3,20242025,3,52
2024010096,2024-10-04T22:00:00,10/4/2024,96,1,6,1,2,28,5,20242025,3,24
2024010097,2024-10-04T22:00:00,10/4/2024,97,1,6,1,4,23,3,20242025,1,22
2024010098,2024-10-05T17:00:00,10/5/2024,98,1,6,1,2,15,3,20242025,0,6
2024010099,2024-10-05T17:00:00,10/5/2024,99,1,6,1,3,18,3,20242025,5,12
2024010100,2024-10-05T19:00:00,10/5/2024,100,1,6,1,3,10,3,20242025,2,17
2024010101,2024-10-05T19:00:00,10/5/2024,101,1,6,1,4,9,3,20242025,2,8
2024010102,2024-10-05T19:00:00,10/5/2024,102,1,6,1,2,59,3,20242025,1,21
2024010103,2024-10-05T19:00:00,10/5/2024,103,1,6,1,2,26,3,20242025,4,13
2024010104,2024-10-05T20:00:00,10/5/2024,104,1,6,1,6,16,3,20242025,2,19
2024010105,2024-10-05T22:00:00,10/5/2024,105,1,6,1,5,54,3,20242025,6,28
2024010106,2024-09-27T14:30:00,9/27/2024,106,1,6,1,0,7509,3,20242025,5,7
2024020001,2024-10-04T13:00:00,10/4/2024,1,1,7,2,1,7,3,20242025,4,1
2024020002,2024-10-05T10:00:00,10/5/2024,2,1,7,2,3,1,3,20242025,1,7
2024020003,2024-10-08T16:30:00,10/8/2024,3,1,7,2,2,55,3,20242025,3,19
2024020004,2024-10-08T19:00:00,10/8/2024,4,1,7,2,6,13,3,20242025,4,6
2024020005,2024-10-08T22:00:00,10/8/2024,5,1,7,2,5,59,3,20242025,2,16
2024020006,2024-10-09T19:00:00,10/9/2024,6,1,7,2,1,8,3,20242025,0,10
2024020007,2024-10-09T19:30:00,10/9/2024,7,1,7,2,0,5,3,20242025,6,3
2024020008,2024-10-09T22:00:00,10/9/2024,8,1,7,2,0,22,3,20242025,6,52
2024020009,2024-10-09T22:00:00,10/9/2024,9,1,7,2,5,23,4,20242025,6,20
2024020010,2024-10-09T22:00:00,10/9/2024,10,1,7,2,8,54,3,20242025,4,21
2024020011,2024-10-10T19:00:00,10/10/2024,11,1,7,2,6,6,3,20242025,4,8
2024020012,2024-10-10T19:00:00,10/10/2024,12,1,7,2,1,7,3,20242025,3,26
2024020013,2024-10-10T19:00:00,10/10/2024,13,1,7,2,3,9,3,20242025,1,13
2024020014,2024-10-10T20:00:00,10/10/2024,14,1,7,2,3,17,3,20242025,6,5
2024020015,2024-10-10T19:00:00,10/10/2024,15,1,7,2,2,1,3,20242025,4,10
2024020016,2024-10-10T19:30:00,10/10/2024,16,1,7,2,4,2,4,20242025,5,59
2024020017,2024-10-10T20:00:00,10/10/2024,17,1,7,2,3,18,3,20242025,4,25
2024020018,2024-10-10T20:00:00,10/10/2024,18,1,7,2,3,30,3,20242025,2,29
2024020019,2024-10-10T22:30:00,10/10/2024,19,1,7,2,4,28,4,20242025,5,19
2024020020,2024-10-11T19:00:00,10/11/2024,20,1,7,2,1,12,3,20242025,4,14
2024020021,2024-10-11T20:00:00,10/11/2024,21,1,7,2,2,52,4,20242025,1,16
2024020022,2024-10-11T22:00:00,10/11/2024,22,1,7,2,2,23,5,20242025,3,4
2024020023,2024-10-11T22:00:00,10/11/2024,23,1,7,2,4,54,3,20242025,3,19
2024020024,2024-10-12T13:00:00,10/12/2024,24,1,7,2,2,6,4,20242025,1,26
2024020025,2024-10-12T19:00:00,10/12/2024,25,1,7,2,5,7,3,20242025,2,13
2024020026,2024-10-12T19:00:00,10/12/2024,26,1,7,2,4,10,3,20242025,2,5
2024020027,2024-10-12T19:00:00,10/12/2024,27,1,7,2,4,8,3,20242025,1,9
2024020028,2024-10-12T19:00:00,10/12/2024,28,1,7,2,3,17,3,20242025,0,18
2024020029,2025-01-07T19:00:00,1/7/2025,29,1,7,2,3,14,3,20242025,2,12
2024020030,2024-10-12T19:00:00,10/12/2024,30,1,7,2,5,3,4,20242025,6,59
2024020031,2024-10-12T19:00:00,10/12/2024,31,1,7,2,3,15,3,20242025,5,1
2024020032,2024-10-12T20:00:00,10/12/2024,32,1,7,2,3,25,3,20242025,0,2
2024020033,2024-10-12T20:00:00,10/12/2024,33,1,7,2,4,30,5,20242025,5,55
2024020034,2024-10-12T21:00:00,10/12/2024,34,1,7,2,4,21,3,20242025,6,29
2024020035,2024-10-12T22:00:00,10/12/2024,35,1,7,2,6,20,3,20242025,3,4
2024020036,2024-10-12T22:00:00,10/12/2024,36,1,7,2,2,22,3,20242025,5,16
2024020037,2024-10-12T22:00:00,10/12/2024,37,1,7,2,0,28,3,20242025,2,24
2024020038,2024-10-13T18:00:00,10/13/2024,38,1,7,2,2,52,4,20242025,1,30
2024020039,2024-10-13T20:00:00,10/13/2024,39,1,7,2,2,25,3,20242025,0,55
2024020040,2024-10-13T20:00:00,10/13/2024,40,1,7,2,1,22,3,20242025,4,20
2024020041,2024-10-13T22:00:00,10/13/2024,41,1,7,2,3,54,3,20242025,1,24
2024020042,2024-10-14T13:00:00,10/14/2024,42,1,7,2,3,6,3,20242025,4,13
2024020043,2024-10-14T13:00:00,10/14/2024,43,1,7,2,8,9,4,20242025,7,26
2024020044,2024-10-14T13:00:00,10/14/2024,44,1,7,2,3,1,3,20242025,0,59
2024020045,2024-10-14T19:00:00,10/14/2024,45,1,7,2,4,3,3,20242025,1,17
2024020046,2024-10-14T19:30:00,10/14/2024,46,1,7,2,3,8,3,20242025,6,5
2024020047,2024-10-14T21:00:00,10/14/2024,47,1,7,2,2,21,3,20242025,6,2
2024020048,2024-10-15T19:00:00,10/15/2024,48,1,7,2,4,14,3,20242025,1,23
2024020049,2024-10-15T19:00:00,10/15/2024,49,1,7,2,4,15,3,20242025,2,54
2024020050,2024-10-15T19:00:00,10/15/2024,50,1,7,2,4,12,3,20242025,2,1
2024020051,2024-10-15T19:00:00,10/15/2024,51,1,7,2,3,29,3,20242025,4,13
2024020052,2024-10-15T19:30:00,10/15/2024,52,1,7,2,1,19,3,20242025,4,30
2024020053,2024-10-15T20:00:00,10/15/2024,53,1,7,2,3,18,3,20242025,7,55
2024020054,2024-10-15T20:00:00,10/15/2024,54,1,7,2,3,25,5,20242025,2,28
2024020055,2024-10-15T21:00:00,10/15/2024,55,1,7,2,3,20,3,20242025,1,16
2024020056,2024-10-15T22:00:00,10/15/2024,56,1,7,2,4,22,4,20242025,3,4
2024020057,2024-10-16T19:00:00,10/16/2024,57,1,7,2,6,5,4,20242025,5,7
2024020058,2024-10-16T19:30:00,10/16/2024,58,1,7,2,6,10,3,20242025,2,26
2024020059,2024-10-16T21:30:00,10/16/2024,59,1,7,2,3,21,3,20242025,5,6
2024020060,2024-10-16T22:00:00,10/16/2024,60,1,7,2,5,24,4,20242025,4,59
2024020061,2024-10-17T19:00:00,10/17/2024,61,1,7,2,1,8,3,20242025,4,26
2024020062,2024-10-17T19:00:00,10/17/2024,62,1,7,2,1,9,3,20242025,3,1
2024020063,2024-10-17T19:30:00,10/17/2024,63,1,7,2,2,17,3,20242025,5,3
2024020064,2024-10-17T19:00:00,10/17/2024,64,1,7,2,4,14,3,20242025,3,54
2024020065,2024-10-17T19:00:00,10/17/2024,65,1,7,2,2,13,4,20242025,3,23
2024020066,2024-10-17T19:00:00,10/17/2024,66,1,7,2,3,15,3,20242025,2,25
2024020067,2024-10-17T19:00:00,10/17/2024,67,1,7,2,6,29,3,20242025,4,7
2024020068,2024-10-17T20:00:00,10/17/2024,68,1,7,2,1,19,4,20242025,0,2
2024020069,2024-10-17T20:00:00,10/17/2024,69,1,7,2,2,18,3,20242025,4,22
2024020070,2024-10-17T20:30:00,10/17/2024,70,1,7,2,4,16,3,20242025,2,28
2024020071,2024-10-17T22:00:00,10/17/2024,71,1,7,2,6,55,3,20242025,4,4
2024020072,2024-10-18T19:00:00,10/18/2024,72,1,7,2,1,5,3,20242025,4,12
2024020073,2024-10-18T20:00:00,10/18/2024,73,1,7,2,8,52,3,20242025,3,28
2024020074,2024-10-18T21:00:00,10/18/2024,74,1,7,2,4,21,4,20242025,3,24
2024020075,2024-10-19T13:00:00,10/19/2024,75,1,7,2,5,9,3,20242025,4,14
2024020076,2024-10-19T14:00:00,10/19/2024,76,1,7,2,2,18,3,20242025,5,17
2024020077,2024-10-19T16:00:00,10/19/2024,77,1,7,2,4,25,3,20242025,1,22
2024020078,2024-10-19T18:00:00,10/19/2024,78,1,7,2,4,13,4,20242025,3,54
2024020079,2024-10-19T19:00:00,10/19/2024,79,1,7,2,1,10,3,20242025,4,3
2024020080,2024-10-19T19:00:00,10/19/2024,80,1,7,2,5,1,4,20242025,6,15
2024020081,2024-10-19T19:00:00,10/19/2024,81,1,7,2,4,2,5,20242025,3,8
2024020082,2024-10-19T19:00:00,10/19/2024,82,1,7,2,0,4,3,20242025,3,23
2024020083,2024-10-19T19:00:00,10/19/2024,83,1,7,2,1,29,3,20242025,3,30
2024020084,2024-10-19T19:00:00,10/19/2024,84,1,7,2,4,19,3,20242025,3,12
