"playerId","headshot","sweaterNumber","positionCode","shootsCatches","heightInInches","weightInPounds","heightInCentimeters","weightInKilograms","birthDate","birthCountry","firstName","lastName","birthCity","birthStateProvince","teamId"
8473503,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8473503.png",47,"G","L",74,200,188,91,"1988-03-15","CAN","James","Reimer","Morweena","MB",7
8475722,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8475722.png",17,"L","L",71,195,180,88,"1992-01-16","USA","Jason","Zucker","Newport Beach","CA",7
8477949,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8477949.png",89,"R","R",76,219,193,99,"1996-05-10","USA","Alex","Tuch","Syracuse","NY",7
8478043,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8478043.png",81,"C","R",74,205,188,93,"1995-03-06","USA","Sam","Lafferty","Hollidaysburg","PA",7
8478413,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8478413.png",12,"L","L",78,231,198,105,"1997-02-16","USA","Jordan","Greenway","Canton","NY",7
8479359,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8479359.png",29,"L","L",75,209,191,95,"1998-02-04","CAN","Beck","Malenstyn","Delta","BC",7
8479420,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8479420.png",72,"C","R",78,220,198,100,"1997-10-30","USA","Tage","Thompson","Phoenix","AZ",7
8479982,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8479982.png",NA,"D","R",75,213,191,97,"1998-09-18","CAN","Conor","Timmins","St. Catharines","ON",7
8480045,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480045.png",1,"G","L",77,223,196,101,"1999-03-09","FIN","Ukko-Pekka","Luukkonen","Espoo",NA,7
8480064,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480064.png",13,"C","L",74,196,188,89,"1999-05-05","USA","Josh","Norris","Oxford","MI",7
8480196,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480196.png",78,"D","L",69,177,175,80,"1997-11-18","CAN","Jacob","Bryson","London","ON",7
8480802,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480802.png",71,"C","L",75,188,191,85,"1999-09-21","CAN","Ryan","McLeod","Mississauga","ON",7
8480807,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480807.png",23,"D","L",76,227,193,103,"2000-03-14","USA","Mattias","Samuelsson","Philadelphia","PA",7
8480839,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png",26,"D","L",75,204,191,93,"2000-04-13","SWE","Rasmus","Dahlin","Lidkoping",NA,7
8480879,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480879.png",24,"D","R",73,198,185,90,"2000-06-30","CAN","Jacob","Bernard-Docker","Canmore","AB",7
8480891,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8480891.png",NA,"D","R",77,215,196,98,"2000-01-13","USA","Michael","Kesselring","Florence","SC",7
8481522,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8481522.png",19,"C","L",72,186,183,84,"2001-01-26","CAN","Peyton","Krebs","Calgary","AB",7
8481524,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8481524.png",4,"D","L",73,205,185,93,"2001-06-13","CAN","Bowen","Byram","Cranbrook","BC",7
8482097,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8482097.png",22,"R","R",73,185,185,84,"2001-09-19","CAN","Jack","Quinn","Ottawa","ON",7
8482659,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8482659.png",NA,"R","R",74,198,188,90,"2002-02-01","USA","Josh","Doan","Scottsdale","AZ",7
8482671,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8482671.png",25,"D","L",78,226,198,103,"2002-11-22","CAN","Owen","Power","Mississauga","ON",7
8484145,"https://assets.nhle.com/mugs/nhl/20242025/BUF/8484145.png",9,"L","L",70,170,178,77,"2005-05-12","CAN","Zach","Benson","Chilliwack","BC",7
8473994,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8473994.png",14,"L","L",75,206,191,93,"1989-07-18","CAN","Jamie","Benn","Victoria","BC",25
8474090,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8474090.png",2,"D","L",74,200,188,91,"1989-02-08","CAN","Brendan","Smith","Mimico","ON",25
8474149,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png",63,"R","L",71,188,180,85,"1989-03-12","RUS","Evgenii","Dadonov","Chelyabinsk",NA,25
8475168,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8475168.png",95,"C","L",71,212,180,96,"1991-01-16","CAN","Matt","Duchene","Haliburton","ON",25
8475794,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8475794.png",91,"C","R",74,201,188,91,"1992-01-31","CAN","Tyler","Seguin","Brampton","ON",25
8475798,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8475798.png",64,"C","L",70,185,178,84,"1992-02-26","FIN","Mikael","Granlund","Oulu",NA,25
8476278,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8476278.png",15,"C","R",68,190,173,86,"1993-03-28","USA","Colin","Blackwell","North Andover","MA",25
8476856,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8476856.png",3,"D","R",73,185,185,84,"1994-07-25","CAN","Mathew","Dumba","Regina","SK",25
8476879,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8476879.png",44,"D","R",75,210,191,95,"1993-12-21","CAN","Cody","Ceci","Ottawa","ON",25
8476902,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8476902.png",23,"D","L",75,217,191,98,"1994-05-23","FIN","Esa","Lindell","Vantaa",NA,25
8478420,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8478420.png",96,"R","L",76,215,193,98,"1996-10-29","FIN","Mikko","Rantanen","Nousiainen",NA,25
8478449,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8478449.png",24,"C","L",75,213,191,97,"1996-11-17","FIN","Roope","Hintz","Nokia",NA,25
8479193,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8479193.png",1,"G","L",72,180,183,82,"1991-08-13","USA","Casey","DeSmith","Rochester","NH",25
8479351,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8479351.png",18,"C","L",72,189,183,86,"1998-02-03","CAN","Sam","Steel","Ardrossan","AB",25
8479979,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8479979.png",29,"G","L",78,224,198,102,"1998-12-18","USA","Jake","Oettinger","Lakeville","MN",25
8480027,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8480027.png",21,"L","L",75,207,191,94,"1999-07-22","USA","Jason","Robertson","Arcadia","CA",25
8480036,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png",4,"D","L",74,197,188,89,"1999-07-18","FIN","Miro","Heiskanen","Espoo",NA,25
8480840,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8480840.png",10,"C","L",76,202,193,92,"2000-03-12","SWE","Oskar","Bäck","Karlstad",NA,25
8480878,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8480878.png",5,"D","R",73,191,185,87,"2000-07-27","SWE","Nils","Lundkvist","Pitea",NA,25
8480950,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8480950.png",46,"D","R",74,200,188,91,"1994-04-06","RUS","Ilya","Lyubushkin","Moscow",NA,25
8481581,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8481581.png",55,"D","L",75,211,191,96,"2001-08-19","USA","Thomas","Harley","Syracuse","NY",25
8482145,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8482145.png",22,"C","R",71,181,180,82,"2002-01-08","CAN","Mavrik","Bourque","Plessisville","QC",25
8482740,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8482740.png",53,"C","R",73,185,185,84,"2003-05-14","CAN","Wyatt","Johnston","Toronto","ON",25
8483425,"https://assets.nhle.com/mugs/nhl/20242025/DAL/8483425.png",6,"D","L",79,231,201,105,"2004-05-18","CHE","Lian","Bichsel","Olten",NA,25
8474568,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8474568.png",5,"D","R",74,225,188,102,"1989-11-02","CAN","Luke","Schenn","Saskatoon","SK",52
8475799,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8475799.png",62,"R","L",74,218,188,99,"1992-09-08","CHE","Nino","Niederreiter","Chur",NA,52
8476331,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476331.png",2,"D","R",73,194,185,88,"1993-05-01","CAN","Dylan","DeMelo","London","ON",52
8476392,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476392.png",17,"C","L",77,210,196,95,"1993-03-29","USA","Adam","Lowry","St. Louis","MO",52
8476460,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476460.png",55,"C","R",75,207,191,94,"1993-03-15","CAN","Mark","Scheifele","Kitchener","ON",52
8476480,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476480.png",7,"C","L",72,181,183,82,"1992-11-22","RUS","Vladislav","Namestnikov","Zhukovskiy",NA,52
8476525,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476525.png",6,"D","R",73,200,185,91,"1992-10-29","CAN","Colin","Miller","Sault Ste. Marie","ON",52
8476904,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476904.png",60,"G","L",76,210,193,95,"1994-05-18","CAN","Chris","Driedger","Winnipeg","MB",52
8476945,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476945.png",37,"G","L",76,207,193,94,"1993-05-19","USA","Connor","Hellebuyck","Commerce","MI",52
8476952,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8476952.png",21,"C","L",74,201,188,91,"1994-03-09","USA","Dominic","Toninato","Duluth","MN",52
8477480,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8477480.png",1,"G","L",73,190,185,86,"1995-07-06","CAN","Eric","Comrie","Edmonton","AB",52
8477504,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8477504.png",44,"D","L",72,195,183,88,"1995-03-28","CAN","Josh","Morrissey","Calgary","AB",52
8477938,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8477938.png",24,"D","L",76,207,193,94,"1996-07-08","CAN","Haydn","Fleury","Carlyle","SK",52
8477940,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8477940.png",27,"L","L",72,172,183,78,"1996-02-14","DNK","Nikolaj","Ehlers","Aalborg",NA,52
8478398,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8478398.png",81,"L","L",73,183,185,83,"1996-12-09","USA","Kyle","Connor","Shelby Township","MI",52
8478891,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8478891.png",22,"C","R",74,194,188,88,"1996-01-15","USA","Mason","Appleton","Green Bay","WI",52
8479293,"https://assets.nhle.com/mugs/nhl/20242025/WPG/8479293.png",73,"L","L",72,189,183,86,"1991-12-31","CAN","Brandon","Tanev","Toronto","ON",52
